Transaction_Text,Label
Reliance Digital purchase | Ref:4c6c93e6 | Amount: INR 22915.1,Shopping
Dominos pizza order | Ref:e728320e | Amount: INR 22699.52,Food
PHONEPE General income credit PAYMENT,Income
ONLINE Water bill payment,Bills
GPAY Spotify subscription PAYMENT,Entertainment
Petrol pump fuel payment | Ref:2a8f94cd | Amount: INR 43353.36,Petrol
GPAY Mithran Super Stores purchase PAYMENT,Groceries
PAYTM Bank credit received ONLINE,Income
UPI Clinic payment TRANSACTION,Medical
PHONEPE Zepto grocery delivery TRANSACTION,Groceries
BANK Prime Video subscription UPI,Entertainment
BANK Udemy course purchase TRANSACTION,Studies
ONLINE Taxi fare UPI payment TRANSACTION,Transport
ONLINE Company salary deposit UPI,Salary
Personal bank transfer PURCHASE,Personal Transfer
Train reservation payment ONLINE,Transport
BANK PG rent payment PURCHASE,Rent
IRCTC train ticket booking | Ref:3a9d38f3 | Amount: INR 47406.33,Transport
ONLINE BookMyShow movie ticket ONLINE,Entertainment
HDFC home loan EMI | Ref:1e7babee | Amount: INR 16518.05,EMI
Amazon online shopping | Ref:d7433140 | Amount: INR 19251.76,Shopping
PPF contribution | Ref:709383f1 | Amount: INR 5979.18,Investment
UPI Udemy course purchase ONLINE,Studies
Restaurant dining at | Ref:1a4e3489 | Amount: INR 25135.06,Food
ONLINE Diesel filling payment UPI,Petrol
PAYTM UPI payment to Ravi UPI,Personal Transfer
Cafe coffee purchase at | Ref:32d7c518 | Amount: INR 1423.14,Food
Ola cab fare | Ref:8456f354 | Amount: INR 19876.55,Transport
Personal loan EMI deduction | Ref:5f59cde8 | Amount: INR 37685.77,EMI
PHONEPE Monthly rent transfer TRANSACTION,Rent
Bajaj Finserv EMI payment | Ref:7a7f7e6f | Amount: INR 27388.16,EMI
SIP investment in mutual fund | Ref:77e4e6f1 | Amount: INR 48544.73,Investment
MedPlus pharmacy purchase,Medical
Credit card EMI installment | Ref:7354cd96 | Amount: INR 39440.11,EMI
GPAY Medical shop purchase UPI,Medical
BANK Bank credit received PURCHASE,Income
PHONEPE Electricity bill payment ONLINE,Bills
GPAY Prime Video subscription,Entertainment
POS IOCL fuel station UPI,Petrol
PHONEPE Money sent to Deepak ONLINE,Personal Transfer
PAYTM BigBasket grocery order UPI,Groceries
PAYTM Office salary received TRANSACTION,Salary
PAYTM Tuition class payment,Studies
UPI Water bill payment,Bills
POS Diagnostic lab payment,Medical
PAYTM Reliance Fresh supermarket payment ONLINE,Groceries
UPI Gaming purchase UPI,Entertainment
ONLINE Other transaction PAYMENT,Other
Ola cab fare | Ref:7eab0ab9 | Amount: INR 37350.36,Transport
GPAY Spotify subscription,Entertainment
Grocery purchase at Big Bazaar | Ref:7a73c04e | Amount: INR 19751.46,Food
ONLINE Exam fee payment PURCHASE,Studies
Grocery purchase at Big Bazaar | Ref:24c17cc6 | Amount: INR 6948.2,Food
PAYTM PG rent payment PAYMENT,Rent
PAYTM Mobile bill payment ONLINE,Bills
GPAY Room rent August PURCHASE,Rent
Petrol pump fuel payment | Ref:75c43573 | Amount: INR 11220.08,Petrol
POS Salary credited PURCHASE,Salary
Restaurant dining at | Ref:455fb519 | Amount: INR 39355.25,Food
BANK Bank credit received PAYMENT,Income
PAYTM Employer salary payment TRANSACTION,Salary
ONLINE College fee payment TRANSACTION,Studies
GPAY Personal bank transfer TRANSACTION,Personal Transfer
GPAY Myntra shopping payment TRANSACTION,Shopping
IRCTC train ticket booking | Ref:e49a3484 | Amount: INR 30436.78,Transport
Petrol pump fuel payment | Ref:b627a2d1 | Amount: INR 42042.18,Petrol
BANK Company salary deposit ONLINE,Salary
GPAY Monthly rent transfer ONLINE,Rent
Petrol pump fuel payment | Ref:6b3544ea | Amount: INR 719.78,Petrol
UPI Utility bill payment UPI,Bills
PAYTM General purchase TRANSACTION,Other
IndiGo flight ticket | Ref:c1a166b7 | Amount: INR 37190.72,Transport
Petrol pump fuel payment | Ref:f63776b6 | Amount: INR 37034.18,Petrol
POS UPI transfer to friend ONLINE,Personal Transfer
GPAY Doctor consultation fee PAYMENT,Medical
BANK BookMyShow movie ticket,Entertainment
GPAY Coursera course payment PURCHASE,Studies
BANK Monthly salary credit PAYMENT,Salary
MakeMyTrip hotel booking | Ref:dbcd5241 | Amount: INR 34373.68,Transport
UPI Medicine purchase PURCHASE,Medical
Bank credit received PURCHASE,Income
PHONEPE Payment received UPI,Income
Diagnostic lab payment TRANSACTION,Medical
Taxi fare UPI payment,Transport
POS BookMyShow movie ticket PAYMENT,Entertainment
Transfer to family member PAYMENT,Personal Transfer
ONLINE Railway ticket booking UPI,Transport
Ola cab fare | Ref:6eceda5b | Amount: INR 38543.99,Transport
BANK Apartment rent payment TRANSACTION,Rent
UPI Groww investment payment UPI,Investment
BANK UPI transfer to Arun TRANSACTION,Personal Transfer
PHONEPE Cinema ticket payment,Entertainment
PHONEPE General payment ONLINE,Other
Petrol pump fuel payment | Ref:e23de2e6 | Amount: INR 30249.83,Petrol
POS Freelance payment received ONLINE,Income
BANK Money transfer to person PAYMENT,Personal Transfer
Monthly wages credited,Salary
PAYTM Netflix monthly payment PAYMENT,Entertainment
PAYTM Bank account credit received,Income
GPAY Spotify subscription PURCHASE,Entertainment
Restaurant dining at | Ref:3f4f8706 | Amount: INR 34426.31,Food
Petrol pump fuel payment | Ref:21df902c | Amount: INR 44744.9,Petrol
Grocery purchase at Big Bazaar | Ref:36e6e0ec | Amount: INR 551.98,Food
BANK Bonus credited PAYMENT,Income
Bajaj Finserv EMI payment | Ref:90ed61ec | Amount: INR 7424.28,EMI
PAYTM Money received TRANSACTION,Income
ONLINE Mobile bill payment PAYMENT,Bills
PPF contribution | Ref:a1590ac2 | Amount: INR 12489.68,Investment
POS BigBasket grocery order PURCHASE,Groceries
BANK Transfer to family member PURCHASE,Personal Transfer
PHONEPE Academic fee payment,Studies
ONLINE Udemy course purchase UPI,Studies
IndiGo flight ticket | Ref:a9ac0099 | Amount: INR 35333.06,Transport
MakeMyTrip hotel booking | Ref:e1f62325 | Amount: INR 40224.14,Transport
HDFC home loan EMI | Ref:22b2b245 | Amount: INR 42896.93,EMI
GPAY Hospital bill payment PAYMENT,Medical
PHONEPE Office salary received ONLINE,Salary
UPI Disney Hotstar subscription PAYMENT,Entertainment
POS Freelance payment received PURCHASE,Income
Amazon online shopping | Ref:e647ad79 | Amount: INR 32759.37,Shopping
RedBus bus ticket | Ref:f86e4f49 | Amount: INR 10267.88,Transport
Commission received ONLINE,Income
HDFC home loan EMI | Ref:13e9b2fd | Amount: INR 11819.08,EMI
Uber ride payment | Ref:f6930db9 | Amount: INR 44930.63,Transport
ONLINE DMart grocery purchase PURCHASE,Groceries
ONLINE Mithran Super Stores purchase TRANSACTION,Groceries
Petrol pump fuel payment | Ref:416975e5 | Amount: INR 20112.58,Petrol
PHONEPE Apollo Pharmacy payment ONLINE,Medical
ONLINE Misc expense payment ONLINE,Other
Petrol pump fuel payment | Ref:e21b3b04 | Amount: INR 26173.99,Petrol
POS Monthly salary credit,Salary
BANK Company salary deposit ONLINE,Salary
IndiGo flight ticket | Ref:f48fbca3 | Amount: INR 6557.79,Transport
GPAY BigBasket grocery order UPI,Groceries
MakeMyTrip hotel booking | Ref:82dddfd5 | Amount: INR 3634.24,Transport
UPI Coaching institute UPI,Studies
POS Spotify subscription,Entertainment
PAYTM BookMyShow movie ticket PURCHASE,Entertainment
PAYTM Payment received PURCHASE,Income
Reliance Digital purchase | Ref:05fff31d | Amount: INR 37373.06,Shopping
IRCTC train ticket booking | Ref:eda4fa18 | Amount: INR 159.92,Transport
POS Disney Hotstar subscription PURCHASE,Entertainment
PHONEPE Unknown merchant payment,Other
PHONEPE Electricity bill payment ONLINE,Bills
ONLINE Office salary received ONLINE,Salary
Amazon online shopping | Ref:e601862c | Amount: INR 43166.11,Shopping
Reliance Digital purchase | Ref:31efef83 | Amount: INR 9243.19,Shopping
Petrol pump fuel payment | Ref:a9433719 | Amount: INR 7594.98,Petrol
POS Meesho shopping payment,Shopping
POS Supermarket grocery purchase UPI,Groceries
GPAY General payment UPI,Other
PPF contribution | Ref:46aa49b0 | Amount: INR 32933.56,Investment
POS Money received,Income
BANK Cinema ticket payment PURCHASE,Entertainment
Petrol pump fuel payment | Ref:2bd498a0 | Amount: INR 41745.68,Petrol
Ola cab fare | Ref:109da11b | Amount: INR 39529.13,Transport
PHONEPE Apartment rent payment ONLINE,Rent
BANK IOCL fuel station UPI UPI,Petrol
Petrol bunk UPI payment PAYMENT,Petrol
GPAY Gas bill payment PURCHASE,Bills
Zomato dinner bill | Ref:2d6d1c1c | Amount: INR 792.27,Food
POS MedPlus pharmacy purchase PAYMENT,Medical
Petrol pump fuel payment | Ref:2e6fed86 | Amount: INR 45167.64,Petrol
GPAY HPCL petrol payment TRANSACTION,Petrol
Personal loan EMI deduction | Ref:ea82428c | Amount: INR 30066.77,EMI
BANK Supermarket grocery purchase ONLINE,Groceries
UPI Money sent to Deepak TRANSACTION,Personal Transfer
PAYTM Salary credited UPI,Salary
UPI Payment received PURCHASE,Income
ONLINE Money transfer to person UPI,Personal Transfer
GPAY House rent payment,Rent
BANK Employer salary payment,Salary
PAYTM Utility bill payment,Bills
GPAY Mobile bill payment PAYMENT,Bills
PPF contribution | Ref:7f89a923 | Amount: INR 9130.58,Investment
BANK Airtel recharge TRANSACTION,Bills
Educational institution fee,Studies
POS Apollo Pharmacy payment,Medical
Misc expense payment PAYMENT,Other
GPAY Tuition class payment PAYMENT,Studies
Flat rent transfer ONLINE,Rent
Fixed deposit investment | Ref:3ab27186 | Amount: INR 31630.39,Investment
GPAY Monthly rent transfer PAYMENT,Rent
UPI Medical shop purchase PAYMENT,Medical
BANK College fee payment,Studies
Ola cab fare | Ref:d75ee528 | Amount: INR 37672.65,Transport
UPI Payment to friend UPI,Personal Transfer
Petrol pump fuel payment | Ref:04a4fba9 | Amount: INR 29796.44,Petrol
ONLINE Personal UPI transfer UPI,Personal Transfer
BANK Diesel filling payment UPI,Petrol
POS Employer salary payment UPI,Salary
PHONEPE Zepto grocery delivery TRANSACTION,Groceries
SBI car loan EMI | Ref:ed4d2eab | Amount: INR 12001.31,EMI
PAYTM House rent payment,Rent
ONLINE BigBasket grocery order TRANSACTION,Groceries
PHONEPE Exam fee payment TRANSACTION,Studies
ONLINE Incoming bank credit TRANSACTION,Income
ONLINE Education institute UPI payment ONLINE,Studies
PHONEPE Reliance Fresh supermarket payment,Groceries
ONLINE Hospital bill payment,Medical
PAYTM Flat rent transfer UPI,Rent
Diesel filling payment UPI,Petrol
POS Unclassified transaction,Other
UPI Academic fee payment ONLINE,Studies
PAYTM Water bill payment ONLINE,Bills
POS General credit to account,Income
Petrol pump fuel payment | Ref:c9bcb18f | Amount: INR 16164.21,Petrol
PAYTM Incoming bank credit PAYMENT,Income
RedBus bus ticket | Ref:3f8977f3 | Amount: INR 36088.23,Transport
Petrol pump fuel payment | Ref:f8d895df | Amount: INR 40586.62,Petrol
BANK Commission received,Income
POS Transfer to family member ONLINE,Personal Transfer
Petrol pump fuel payment | Ref:7ce25841 | Amount: INR 19233.27,Petrol
POS Finance company EMI debit UPI,EMI
ONLINE Cinema ticket payment UPI,Entertainment
Flipkart electronics purchase | Ref:539d31ed | Amount: INR 29446.77,Shopping
Unclassified transaction PURCHASE,Other
Zerodha stock purchase | Ref:5614d8ee | Amount: INR 1706.94,Investment
ONLINE Employer salary payment UPI,Salary
PAYTM Gas bill payment ONLINE,Bills
Dominos pizza order | Ref:5753a54f | Amount: INR 25390.97,Food
Zerodha stock purchase | Ref:17371f4e | Amount: INR 23975.54,Investment
Personal loan EMI deduction | Ref:5a74861c | Amount: INR 48875.09,EMI
GPAY UPI transfer to Arun,Personal Transfer
GPAY KFC food order TRANSACTION,Food
Personal loan EMI deduction | Ref:846c4c9d | Amount: INR 5226.3,EMI
Zomato dinner bill | Ref:806d936e | Amount: INR 3767.01,Food
ONLINE Freelance payment received TRANSACTION,Income
PAYTM BookMyShow movie ticket ONLINE,Entertainment
UPI Incoming bank credit PAYMENT,Income
ONLINE Clinic payment PURCHASE,Medical
Reliance Digital purchase | Ref:16d6eb6d | Amount: INR 4446.59,Shopping
